org_name,org_description,technology,topics,official_link,gsoc_link
Micro Electronics Research Lab - UITU,Accelerating Engineering Innovation,"RISCV, Processor, Hardware, systemonchip, memory","iot, embedded, Processor, System on Chip, RISC-V",https://www.merledupk.org,https://summerofcode.withgoogle.com/programs/2023/organizations/micro-electronics-research-lab-uitu
omegaUp,Open CS Education as a catalyst for social change,"python, mysql, php, typescript, vue.js","education, web, cloud, edtech, UX/UI",https://omegaup.org,https://summerofcode.withgoogle.com/programs/2023/organizations/omegaup
Haiku,Operating system that targets personal computing.,"c++, posix, unix","desktop, kernel, network, media, gui",https://www.haiku-os.org,https://summerofcode.withgoogle.com/programs/2023/organizations/haiku
PostgreSQL,The Most Advanced Open Source Relational Database,"c, python, postgresql, javascript, sql","web, database, ui, sql, Benchmark",https://postgresql.org,https://summerofcode.withgoogle.com/programs/2023/organizations/postgresql
XWiki,The Advanced Open Source Enterprise Wiki,"javascript, java, html5, css3, velocity","web development, wiki, platform, web applications, structured data",https://www.xwiki.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/xwiki
Open Technologies Alliance - GFOSS,Promote Open Standards and Open Source,"javascript, c/c++, nodejs, python 3, Machine Learning (ML)","web, robotics, open hardware, c++, nodered",http://www.gfoss.eu,https://summerofcode.withgoogle.com/programs/2023/organizations/open-technologies-alliance-gfoss
Plone Foundation,"Python-based CMS, with React front-end.","python, javascript, react","web, cms",https://plone.org,https://summerofcode.withgoogle.com/programs/2023/organizations/plone-foundation
CERN-HSF,Umbrella for Particle Physics-related projects,"python, c/c++, data analysis, artificial intelligence, container orchestration","machine learning, big data, algorithmics, particle physics, Performance Optimisation",http://hepsoftwarefoundation.org/activities/gsoc.html,https://summerofcode.withgoogle.com/programs/2023/organizations/cern-hsf
Red Hen Lab,Research on Multimodal Communication,"python, machine learning, computer vision, nlp, data science","data science, media, language, multimodal communication, gesture",http://www.redhenlab.org,https://summerofcode.withgoogle.com/programs/2023/organizations/red-hen-lab
Pharo Consortium,Modern and innovative programming language,"git, smalltalk, roassal, pharo, SUnit","compilers, machine learning, programming languages, virtual machines, Modelling",https://pharo.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/pharo-consortium
openSUSE Project,"Makers' choice for sysadmins, developers & users","python, ruby, perl, rust, reactjs javascript","AIML, operating system developer tools, containers kubernetes, Security Cryptography, licensing & software quality QA",https://get.opensuse.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/opensuse-project
libssh,The SSH library,"c, ci, ssh","security, cryptography",https://www.libssh.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/libssh
Ruby,Ruby is an object-oriented programming language,"c, java, ruby on rails, ruby, rubygems","security, web, cloud, server, application",https://www.ruby-lang.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/ruby
coreboot,"Fast, secure and flexible BIOS firmware","c, assembly, arm, x86","hardware, drivers, firmware, boot loader, BIOS",https://coreboot.org,https://summerofcode.withgoogle.com/programs/2023/organizations/coreboot
The FreeBSD Project,FreeBSD: An OS for servers to embedded systems,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",https://www.freebsd.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/the-freebsd-project
MetaCall,Simplifying the embedding of programming languages,"python, c++, rust, nodejs, docker","cloud, polyglot, faas, languages, ffi",https://metacall.io,https://summerofcode.withgoogle.com/programs/2023/organizations/metacall
Open Genome Informatics,Open access genomics and bioinformatics projects,"python, react, r-project, graph, angular","genomics, bioinformatics, cloud, biology, data discovery",http://gmod.org/wiki/GSoC,https://summerofcode.withgoogle.com/programs/2023/organizations/open-genome-informatics
Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",https://www.fossi-foundation.org,https://summerofcode.withgoogle.com/programs/2023/organizations/free-and-open-source-silicon-foundation
Python Software Foundation,A programming language used for science & more,"python, javascript, c++, SBOM","security, visualization, compiler, modeling, Backup",https://python-gsoc.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/python-software-foundation
GNU Octave,Free Your Numbers,"c++, hg","mathematics, scientific computing, numerical computation, numerical methods, matlab",https://www.octave.org,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-octave
CGAL Project,C++ library of computational geometry,"c++, qt","geometry, mesh processing, computation geometry, geometry processing",https://www.cgal.org,https://summerofcode.withgoogle.com/programs/2023/organizations/cgal-project
Scalable Parallel Computing Laboratory,High-performance computing for clusters and clouds,"python, c++, mpi, aws, Serverless","programming languages, high-performance computing, parallel computing, Serverless Computing, faas",https://spcl.inf.ethz.ch/,https://summerofcode.withgoogle.com/programs/2023/organizations/scalable-parallel-computing-laboratory
Swift,"Fast, safe, and expressive programming language","c++, cmake, swift","compilers, cross-platform, Packages, Server development, Standard Libraries",https://swift.org,https://summerofcode.withgoogle.com/programs/2023/organizations/swift
BeagleBoard.org,Open hardware computing for educators and makers,"linux, fpga, risc-v, dsp, Zephyr RTOS","robotics, iot, ai, software defined radio, Personal Server",https://beagleboard.org,https://summerofcode.withgoogle.com/programs/2023/organizations/beagleboardorg
MuseScore,The World’s Most Popular Music Notation Software,"c++, qt, qml, cmake","music, midi, musicxml, sheet music, music notation",https://musescore.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/musescore
The Linux Foundation,Non-profit consortium fostering growth of Linux,"c, linux, c++, cups, ipp","kernel, automotive, printing, iio, zephyr",http://www.linuxfoundation.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/the-linux-foundation
